Matrix A:
76	15	28	40	82	10	1	13	61	7	53	64	3	66	41	24	54	60	77	56	33	79	88	26	95	87	33	15	84	87	83	92	2	86	65	17	54	54	99	38	5	46	41	31	63	44	86	26	87	62	
38	25	32	14	72	5	91	10	4	37	49	90	81	64	90	53	79	66	90	54	55	27	31	30	76	90	31	28	98	61	98	98	26	42	9	60	10	57	71	96	59	13	25	63	77	26	6	87	86	53	
84	74	19	64	22	63	56	60	67	12	47	71	64	59	61	52	2	27	97	63	75	96	38	55	75	24	68	6	11	32	66	63	5	54	87	19	27	0	14	46	39	26	29	34	68	86	7	99	89	53	
34	9	58	19	5	99	75	20	37	85	44	37	19	80	14	14	86	14	74	70	11	56	76	89	75	86	24	3	80	10	0	12	56	77	33	88	87	96	21	58	40	78	34	30	76	19	42	66	32	64	
90	56	17	38	49	1	53	1	25	36	27	31	81	34	27	15	8	96	58	79	53	4	54	17	61	50	51	69	25	14	97	82	48	22	29	16	89	65	31	57	70	68	54	40	35	46	28	81	6	79	
32	52	60	41	75	38	84	18	71	86	35	74	99	78	16	18	19	97	34	87	66	89	61	81	99	18	62	23	11	21	60	12	43	3	92	17	81	26	84	21	15	46	12	78	47	38	45	97	62	42	
68	74	62	30	75	79	76	48	39	3	38	86	38	75	53	43	59	95	71	4	9	24	48	57	12	99	15	97	56	98	44	43	77	98	2	62	71	59	71	40	32	21	55	69	99	29	91	26	40	37	
86	92	86	50	19	78	36	95	34	20	13	14	64	20	70	51	10	31	99	1	73	0	7	45	90	60	92	18	1	86	63	98	64	95	60	96	46	30	79	59	29	62	91	36	49	68	44	37	79	20	
4	60	47	97	78	50	66	81	65	17	3	48	68	98	40	20	15	5	10	41	25	3	7	7	47	82	73	93	18	40	68	10	97	33	31	31	43	22	75	83	61	87	53	83	79	65	71	23	78	82	
43	15	98	8	25	7	65	92	86	25	72	20	37	84	52	23	46	74	18	64	46	67	65	51	79	5	57	91	52	85	86	63	25	39	6	76	57	83	12	87	1	25	50	65	83	54	18	74	15	29	
85	84	26	44	0	81	28	80	57	64	68	8	98	75	32	19	53	21	54	34	25	2	34	32	64	47	69	12	26	16	4	65	29	70	55	30	28	63	54	77	78	72	74	2	44	54	71	89	84	29	
29	56	3	14	2	96	62	30	68	91	93	10	16	14	63	62	2	61	62	58	0	24	78	71	22	39	2	5	40	74	5	49	69	21	31	91	82	43	57	54	71	82	31	67	2	32	21	56	59	90	
85	25	17	60	1	33	61	45	76	20	13	61	38	70	43	74	1	16	29	38	0	7	39	85	95	80	96	90	45	4	20	24	67	41	42	91	25	3	82	14	3	74	44	60	82	46	93	66	29	10	
38	72	39	69	3	12	50	4	92	38	90	94	0	31	41	69	59	43	51	39	50	49	95	95	19	49	85	35	82	82	14	52	81	59	54	56	3	68	60	53	60	10	93	78	60	71	90	71	69	21	
92	58	0	86	20	16	47	49	55	84	67	84	29	22	85	89	37	77	8	76	5	11	2	87	12	88	34	93	88	99	26	61	43	72	5	46	77	33	77	80	45	60	35	62	85	81	84	51	88	94	
21	1	72	15	35	44	68	36	73	60	80	50	3	30	20	18	87	64	43	1	31	49	57	1	95	55	99	17	12	73	68	0	10	1	17	8	87	43	26	59	18	40	1	83	31	93	19	42	9	92	
25	5	70	10	37	90	10	8	87	37	11	99	63	39	12	34	10	15	2	26	5	43	60	78	13	19	92	10	0	65	56	95	28	36	98	81	88	62	20	15	77	74	51	24	47	48	55	47	37	20	
8	30	97	57	20	33	77	42	41	93	43	60	90	44	84	15	10	59	66	87	58	98	40	91	45	93	79	53	2	49	2	98	56	91	6	5	13	33	20	19	49	66	69	9	15	87	41	77	56	95	
47	72	95	25	85	41	81	2	67	20	21	47	30	29	64	80	88	28	39	18	51	7	18	16	81	69	42	88	18	23	43	79	84	53	4	94	75	40	11	79	87	63	44	41	5	47	74	51	36	40	
59	37	46	49	50	48	42	77	27	8	72	16	90	73	75	50	84	27	15	78	91	64	76	71	52	47	35	29	36	10	84	58	36	77	68	53	15	6	10	95	11	54	10	73	50	18	18	14	47	31	
97	58	77	52	1	77	97	25	31	9	84	58	34	23	27	18	31	45	47	58	37	69	25	2	53	14	56	18	52	79	94	3	76	66	48	12	29	0	81	76	26	99	47	46	41	97	27	45	16	18	
7	71	65	5	53	73	13	46	38	12	49	72	20	1	53	62	6	56	70	79	27	11	48	66	62	48	1	74	73	45	46	22	79	7	23	25	56	97	13	9	37	34	21	61	78	39	44	71	5	72	
