Matrix A:
85	53	47	97	35	25	73	68	14	30	21	90	85	36	35	9	22	79	98	74	98	95	69	19	2	37	91	29	94	68	25	59	64	91	56	7	18	56	82	4	6	7	33	78	50	85	15	70	64	4	78	62	92	75	43	2	46	91	31	40	16	18	30	6	3	43	48	10	94	79	11	54	2	23	10	58	70	68	7	40	37	24	31	96	10	86	12	17	33	30	54	79	46	23	7	39	94	9	28	0	98	55	88	32	69	10	95	44	80	72	29	1	56	49	23	12	87	32	35	17	35	94	71	5	80	27	67	73	95	6	52	63	32	87	82	79	33	20	98	99	27	42	9	17	18	50	76	82	75	84	
8	38	61	30	39	13	30	19	98	41	23	44	3	74	35	32	35	98	74	48	97	79	93	72	33	78	27	30	55	99	1	42	28	95	19	20	78	66	24	42	93	31	60	87	39	81	19	25	18	7	9	76	89	52	84	85	87	34	18	98	12	33	91	71	73	81	84	2	76	45	58	44	67	10	14	41	86	40	47	31	8	39	50	18	98	58	90	70	50	61	19	23	74	62	56	18	90	44	5	54	29	47	45	34	56	47	16	41	77	55	45	8	71	37	8	0	3	34	42	33	14	9	51	91	34	69	72	96	28	35	17	14	48	53	15	47	65	77	51	31	12	27	92	55	10	7	79	24	29	78	
4	82	92	24	74	7	41	22	59	48	24	31	93	11	62	57	29	96	81	54	19	82	62	22	40	33	97	54	20	35	76	68	63	40	71	6	87	39	36	53	37	58	51	48	61	93	43	5	75	20	80	60	66	40	80	82	81	0	44	93	51	1	44	59	97	99	11	44	90	11	54	35	58	99	4	33	47	56	27	76	90	60	22	83	63	43	58	54	79	72	64	82	7	62	41	63	89	72	53	42	32	79	2	10	50	46	16	19	42	80	90	22	52	47	80	72	92	48	68	82	50	64	28	18	21	90	50	53	75	14	0	8	53	22	59	96	37	52	90	17	92	53	31	60	11	61	81	3	85	55	
50	46	18	92	5	88	80	4	88	55	99	38	28	89	12	58	66	20	83	84	18	13	9	11	27	64	81	11	77	8	23	48	23	71	3	9	57	61	41	22	43	31	69	86	61	30	22	65	59	58	88	22	88	77	14	17	62	60	83	4	8	86	82	39	4	39	93	10	98	29	67	47	31	11	53	9	68	10	10	93	77	70	84	55	45	25	43	1	56	31	90	24	71	70	89	12	93	4	56	51	83	43	47	86	12	5	63	37	39	75	37	80	37	72	79	58	99	74	31	89	52	1	1	40	13	71	88	47	14	85	21	61	97	20	20	25	45	60	79	78	29	26	87	39	40	69	73	16	65	60	
74	95	3	62	67	56	74	79	44	72	71	42	54	48	15	72	7	26	91	96	61	44	19	58	78	74	52	23	55	8	4	15	14	9	37	14	14	54	91	47	73	90	23	39	16	62	33	3	15	70	98	58	41	0	11	81	41	62	5	72	71	2	34	22	28	80	90	26	56	84	19	82	62	15	71	32	43	2	11	96	37	85	46	28	35	10	80	44	2	40	85	47	38	27	26	62	34	64	41	0	35	34	46	2	48	53	95	54	28	57	26	55	29	19	70	96	0	80	62	86	53	39	26	24	72	70	8	82	16	9	12	86	42	51	33	28	54	97	66	76	61	77	57	42	78	88	99	17	66	81	
10	17	71	62	53	43	42	24	44	27	69	47	9	43	44	7	2	23	77	40	70	45	31	57	60	19	8	32	5	51	94	34	63	66	72	5	30	53	18	12	19	81	42	90	41	11	23	91	3	64	36	12	37	79	35	90	91	26	76	91	40	2	24	93	97	0	63	19	92	64	46	98	88	20	15	69	15	30	50	58	52	75	64	22	96	61	83	59	67	84	30	84	68	98	1	2	48	65	80	26	53	94	20	87	16	75	86	86	77	24	77	61	79	27	20	14	27	56	93	41	3	21	45	9	84	0	71	19	61	14	32	72	83	10	45	55	77	59	14	95	21	58	72	31	90	22	93	56	29	70	
43	23	75	9	50	4	1	58	75	91	83	22	63	27	27	64	66	60	13	63	85	22	32	35	50	40	72	13	15	75	72	41	91	21	80	47	24	79	95	62	78	79	22	18	88	81	17	32	49	64	80	48	51	37	66	70	33	69	34	83	33	5	26	11	47	44	25	12	15	40	22	75	34	57	99	58	40	83	96	94	72	51	12	10	69	21	2	21	60	93	70	2	31	37	80	78	53	39	30	16	1	12	69	5	49	25	69	77	38	25	45	59	42	12	31	8	7	6	94	84	15	45	34	82	6	82	13	1	15	19	39	66	15	79	1	32	81	21	88	20	67	71	36	89	14	3	20	51	40	80	
72	21	98	32	66	41	62	81	87	5	15	91	9	83	52	89	94	0	64	12	80	99	86	37	69	74	70	33	23	87	16	35	65	13	29	75	76	73	26	47	76	12	96	43	55	34	58	78	80	22	4	87	34	45	36	94	80	89	9	5	93	28	84	75	17	97	4	16	2	54	66	66	53	60	41	8	17	77	1	34	7	13	23	68	25	19	45	56	20	66	74	71	45	9	12	12	15	64	36	82	59	62	23	23	42	55	88	93	36	22	38	64	30	69	35	19	9	81	55	57	67	93	99	88	43	82	59	26	28	58	11	34	67	3	21	14	63	55	52	59	55	29	16	82	62	78	18	47	27	58	
73	35	59	35	51	4	39	57	50	16	40	31	94	18	67	69	19	27	31	35	73	17	70	35	52	94	91	80	71	88	45	23	77	4	0	10	82	26	94	60	88	64	51	43	33	82	22	58	82	78	71	47	50	72	29	76	2	26	29	15	57	55	18	84	3	14	0	12	63	78	31	7	26	80	29	18	68	65	44	68	85	50	35	0	9	66	49	24	29	76	59	4	50	31	55	12	44	79	69	40	20	92	15	32	27	25	73	65	36	63	70	43	53	53	95	36	41	62	49	58	29	21	35	25	1	36	34	48	56	60	24	46	68	41	4	81	84	55	72	71	39	33	15	64	21	66	86	77	90	29	
57	55	79	2	99	40	6	67	66	91	2	93	77	62	27	97	4	70	80	98	38	32	50	46	3	31	30	16	81	69	20	77	14	50	87	45	80	36	17	79	51	71	95	10	32	93	9	74	2	52	52	98	23	8	85	26	98	32	56	40	52	98	7	90	14	28	52	91	53	33	69	85	29	86	18	50	36	41	14	71	95	47	43	91	19	3	65	94	1	14	50	71	71	55	71	47	56	89	95	79	12	11	40	32	93	48	59	31	78	80	18	37	77	27	26	57	81	77	32	26	3	98	92	11	98	9	36	68	45	80	95	59	79	3	93	29	74	82	64	92	82	29	53	22	70	83	45	96	46	83	
