Matrix A:
62	82	63	68	75	71	61	12	25	14	24	75	61	96	12	87	36	17	26	46	3	85	15	31	95	65	77	1	32	48	2	95	30	49	
3	52	5	57	38	60	78	70	97	71	83	35	30	66	84	1	0	77	69	40	3	88	56	52	76	35	87	79	9	12	51	48	92	75	
28	73	27	34	97	2	59	11	52	7	90	91	83	36	24	61	22	7	6	60	53	27	35	38	23	36	87	70	92	0	77	8	68	69	
21	61	57	72	47	10	55	10	4	19	41	45	82	89	75	92	96	39	54	53	48	38	39	23	93	48	55	40	90	45	42	51	76	85	
48	91	12	77	9	18	56	88	25	29	75	82	23	93	37	6	31	2	49	28	71	76	88	78	15	8	83	99	30	61	76	79	89	4	
34	27	58	81	57	92	37	23	26	16	19	16	45	35	92	31	58	28	29	39	58	41	8	69	37	93	7	45	44	37	27	82	65	18	
81	72	57	70	40	60	83	22	98	47	63	35	54	15	5	90	75	7	23	47	86	38	87	5	93	20	98	69	32	49	54	20	66	35	
50	26	70	59	27	89	9	31	40	3	59	71	12	97	9	70	49	2	9	4	49	0	97	74	48	77	59	94	16	69	70	22	81	12	
51	0	81	36	91	80	16	66	4	18	22	70	28	58	18	60	29	54	87	29	39	56	31	75	32	53	3	46	61	81	65	37	51	84	
25	37	41	62	59	8	74	33	51	89	11	9	71	59	42	89	22	61	78	95	10	51	43	32	24	87	18	24	44	43	50	74	24	18	
46	65	25	45	55	94	0	81	79	25	56	34	84	35	73	28	43	82	87	3	95	93	9	28	6	63	32	16	68	87	28	55	91	81	
93	66	80	24	60	91	3	63	41	22	55	75	53	6	33	56	88	96	38	40	76	28	68	17	98	95	81	2	19	50	96	22	96	69	
10	61	95	54	24	95	37	41	83	90	88	58	37	61	26	79	51	8	25	72	85	84	62	68	93	63	21	44	16	7	30	0	55	93	
30	48	62	9	45	73	56	87	52	68	90	68	65	6	38	5	62	52	84	38	11	91	44	23	40	24	27	42	22	94	77	52	91	50	
48	53	1	52	10	91	12	82	17	51	68	99	99	24	41	39	6	40	3	24	18	5	50	8	26	37	22	22	66	87	60	31	99	83	
89	60	69	64	41	86	17	40	56	93	62	28	65	26	90	79	88	28	91	70	22	25	5	54	28	91	36	93	93	45	2	74	68	96	
57	57	2	97	27	24	45	29	64	22	39	0	21	69	59	53	88	57	77	23	7	19	37	30	10	15	40	13	53	92	68	25	55	51	
91	94	30	28	35	77	23	53	6	54	3	75	19	37	15	58	65	21	49	73	45	64	19	8	31	98	5	12	79	73	9	21	0	58	
83	94	86	62	48	37	98	72	43	9	46	15	57	90	28	0	18	92	43	50	49	77	17	22	6	53	82	45	32	24	94	49	62	39	
1	73	87	63	63	6	61	39	42	31	11	36	93	71	43	80	97	43	75	21	75	78	11	12	12	34	17	43	52	38	46	7	38	1	
16	38	62	7	46	24	60	77	59	85	73	87	43	1	49	7	20	52	68	41	85	17	55	59	38	90	78	98	43	57	31	46	67	91	
94	71	69	22	56	2	2	4	35	40	87	63	4	22	6	31	16	57	71	29	53	32	4	38	28	25	2	43	84	84	41	73	23	48	
12	48	2	0	29	82	99	2	2	9	53	56	52	9	79	87	2	90	59	77	20	58	99	26	99	28	87	39	12	28	17	68	64	81	
5	93	74	38	13	32	21	9	74	25	70	3	50	98	82	57	29	62	88	19	82	46	29	35	94	48	85	53	61	36	95	15	10	84	
47	80	14	55	39	85	61	70	88	68	51	83	50	17	2	76	10	4	89	0	9	50	78	1	13	19	82	63	81	48	25	69	66	28	
97	86	13	23	39	77	41	8	97	34	26	28	11	89	44	57	41	2	98	43	51	36	86	87	60	10	57	81	22	28	37	12	98	74	
59	41	64	48	39	80	5	58	47	45	45	43	12	55	17	94	68	43	97	72	30	48	56	5	84	38	4	49	82	41	14	71	56	0	
87	86	73	35	45	32	96	75	25	77	40	93	29	20	1	95	92	21	71	38	13	75	41	51	25	49	43	85	35	36	80	36	30	71	
31	14	52	4	66	80	54	39	30	52	5	61	26	9	11	3	66	46	23	33	17	88	95	78	66	19	79	70	72	13	55	44	57	64	
98	89	53	86	19	29	5	27	98	1	94	42	51	43	48	75	70	27	91	9	95	10	93	16	82	65	56	7	3	39	23	22	83	48	
12	55	47	24	44	46	35	20	31	73	68	15	24	14	3	28	12	86	0	72	35	67	34	0	99	14	86	30	41	6	60	29	76	5	

Matrix B:
84	1	73	28	56	78	3	75	66	98	17	83	37	40	60	99	21	20	29	19	21	10	
88	61	4	27	70	47	69	61	26	84	86	89	69	69	17	2	84	32	46	76	41	45	
98	78	61	62	2	85	23	57	77	59	58	84	39	17	66	12	46	53	84	95	2	64	
43	13	9	16	91	70	38	42	13	11	35	39	29	94	95	76	89	95	90	80	31	45	
56	21	59	55	4	8	67	49	45	87	82	35	44	96	12	68	1	17	83	55	61	75	
33	79	81	89	58	78	76	69	33	17	27	68	72	91	77	79	32	79	95	50	63	79	
38	43	68	83	60	53	5	83	90	55	20	71	23	19	8	37	39	75	20	76	7	31	
14	87	0	32	90	13	35	37	62	29	63	45	50	47	19	86	1	26	3	26	90	64	
10	79	97	27	19	5	46	6	40	72	81	73	69	18	97	14	82	40	67	34	63	1	
14	11	40	72	19	52	89	68	7	54	58	34	38	82	76	59	25	26	95	20	80	8	
16	46	53	87	47	3	73	12	58	51	16	32	14	59	21	13	2	98	96	2	13	42	
15	9	54	82	28	36	84	90	77	65	76	23	83	79	42	34	17	77	44	27	65	82	
87	67	93	21	67	95	60	72	14	56	80	57	89	45	11	54	90	80	90	38	47	38	
86	44	1	28	59	92	81	50	72	48	67	48	0	41	41	92	11	28	47	80	0	40	
41	37	15	2	46	21	44	5	96	94	6	51	45	23	71	73	1	0	41	83	15	89	
62	68	62	32	1	17	28	74	16	24	54	45	11	41	83	52	95	12	87	67	24	15	
1	25	21	92	20	32	93	78	35	20	19	93	24	48	71	48	18	86	80	55	16	94	
31	14	42	95	66	65	20	50	75	22	54	32	8	29	94	26	15	75	62	55	18	66	
77	99	56	64	5	68	32	19	83	23	4	22	78	8	75	47	39	98	35	9	43	58	
97	56	27	62	71	63	16	12	40	30	51	85	37	2	80	20	8	95	47	20	68	73	
8	41	40	38	36	95	85	51	2	4	12	94	60	49	21	85	19	9	65	34	65	15	
36	6	44	29	3	27	41	34	78	50	92	52	62	19	60	66	79	18	83	62	13	30	
75	71	46	87	96	79	37	12	98	4	79	72	72	13	2	40	59	20	55	58	33	58	
4	8	33	31	19	7	99	76	83	68	17	79	9	50	9	78	8	74	16	77	9	95	
49	34	61	36	30	46	28	97	87	71	68	11	40	36	13	17	17	38	27	96	7	13	
42	78	90	86	17	74	26	45	67	8	86	61	67	29	19	17	14	58	7	19	16	75	
33	24	79	94	94	39	41	70	35	66	14	90	66	27	37	54	67	44	71	2	56	91	
2	98	92	97	41	42	97	66	25	24	84	4	71	59	42	5	65	78	18	73	76	34	
2	29	24	81	77	3	27	66	38	66	64	3	46	68	51	1	84	11	59	42	82	46	
12	27	12	35	59	21	1	98	88	12	74	27	78	80	19	1	23	36	53	79	18	48	
98	5	70	58	64	32	49	85	57	10	59	83	45	24	94	10	34	98	62	6	0	91	
98	37	13	23	1	15	12	46	92	65	14	21	37	6	22	59	57	10	2	30	47	23	
76	98	95	40	75	16	51	77	15	32	13	82	10	12	27	73	24	23	41	98	76	42	
48	65	62	54	97	91	34	77	88	86	85	71	18	98	10	85	50	76	49	61	47	49	

Classic Multiplication Result:
88021	70646	79451	82585	70429	78977	71441	99328	94094	84689	87621	88159	73390	75715	69377	79926	70808	77463	90339	88691	56301	79858	
79289	86798	92700	97243	89642	76901	86785	91485	103318	86053	89519	93739	78793	74601	80437	84553	68000	92924	92986	90201	71178	89402	
72622	70805	86371	88939	79035	65824	80365	90107	75990	79236	84316	87344	71183	74190	62765	65417	67194	81420	89338	73124	66150	81243	
89741	82843	84585	94263	86226	85835	83046	106282	97672	84319	90196	95996	75005	80032	78556	82419	74725	88908	99715	99785	63656	91534	
79703	78194	77080	90792	90093	74415	90679	96339	96093	75672	82827	95932	81311	74512	69810	84014	68534	85160	85575	86556	69505	88861	
68818	69345	71650	74357	62025	68227	70789	81481	80098	65583	67225	81365	65388	66053	68348	74110	53836	72349	77464	81271	54486	79427	
82954	85640	99583	100271	87597	85016	84407	105311	87603	80352	89781	106664	85058	79395	81680	78728	80906	89079	105916	90797	70840	80892	
71140	77587	83211	89304	74434	73780	82456	93467	83896	60418	79045	88351	70661	72019	66659	71500	58055	79777	83517	83709	55568	83496	
75765	75192	79799	88536	70082	75787	74954	96210	96003	70386	84771	82654	72003	78689	72715	79840	55988	83522	86211	83454	61415	88464	
